role_id,permission_id
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-374d-789f-bd3c-b9509330b997
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3750-7d95-b0c2-88b64df6a947
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3750-7ead-8cb0-3a8eee5611b0
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3750-7f3e-91a8-49344f152322
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3750-7fc5-86b4-7a3f77bd5a54
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-7049-8687-cca003aa2cb7
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-70ca-be57-f52d9c310b4e
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-7176-8e97-ca2def7481ea
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-7221-8563-f8aad7915c4b
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-7463-88cb-51f4e3a2c1eb
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-753f-991d-fbe57deebd42
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-75d0-b385-03d435af7008
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-7658-aece-520f74c19b71
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-76d8-b73a-e982e0099c30
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-775c-a8c4-c2e86049f732
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-77e4-bdce-e9337c242887
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-7860-8b85-9c86c6e5bf01
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-78e6-9614-03f6ac611fe3
019c0cd2-374b-795a-a028-460024d912b7,019ea1e1-6cea-78cd-89b2-6c5cfc2fd6d9
019c0cd2-374b-795a-a028-460024d912b7,019ea1e1-6cea-7e45-a91b-51d184281607
019c0cd2-374b-795a-a028-460024d912b7,019ea1e1-6cea-7e94-824d-956f0d1c3da1
019c0cd2-374b-795a-a028-460024d912b7,019ea1e1-6cea-7ec6-ab78-a644bce755ae
019c0cd2-374b-795a-a028-460024d912b7,019ea1e1-6cea-7ef9-aa58-71dcd7b62a3c
019c0cd2-374b-795a-a028-460024d912b7,019ea1e1-6cea-7f20-af93-31fcb795338e
019c0cd2-374b-795a-a028-460024d912b7,019ea1e1-6cea-7f49-93f2-3e66e95469c6
019c0cd2-374b-795a-a028-460024d912b7,019ea1e1-6cea-7f73-b2e9-11d946fc6a9b
019c0cd2-374b-795a-a028-460024d912b7,019ea1e1-6cea-7f9d-b91d-19bd05f8382f
019c0cd2-374b-795a-a028-460024d912b7,019ea1e1-6cea-7fcf-8d7e-0377df89f282
019c0cd2-374b-795a-a028-460024d912b7,019ea1e1-6cea-7ff9-a26e-143326aeedc7
019c0cd2-374b-795a-a028-460024d912b7,019ea1e1-6ceb-7021-a173-8bb2f0f00189
019c0cd2-374b-795a-a028-460024d912b7,52be7e8b-6c7f-4e3a-8db2-1c943c0a4d5b
019c0cd2-374b-795a-a028-460024d912b7,bf8681f2-b76f-419a-8bcc-99fbef61da9d
019c0cd2-374b-795a-a028-460024d912b7,19eb6485-2045-47eb-9421-d49a7b07e8d4
019c0cd2-374b-795a-a028-460024d912b7,338233dc-74ea-4ddc-bf6c-c4541a07f13e
019c0cd2-374b-795a-a028-460024d912b7,8f1d877b-6636-4846-8e80-b60ae258ae4b
019c0cd2-374b-795a-a028-460024d912b7,8b0b5ad6-a852-4a0b-83ba-9c3149671400
019c0cd2-374b-795a-a028-460024d912b7,7aa970e2-6f03-4438-bd1d-dd3e678856c6
019c0cd2-374b-795a-a028-460024d912b7,ba831ddb-106c-462b-9d0d-12e8c070b829
019c0cd2-374b-795a-a028-460024d912b7,da1db4af-3b51-4721-ad16-fd4c39eea3e5
019c0cd2-374b-795a-a028-460024d912b7,828d8bc6-3b99-44cb-a6dd-ad0a69a11897
019c0cd2-374b-795a-a028-460024d912b7,15b4a36b-0d22-4230-8a01-f753195e1688
019c0cd2-374b-795a-a028-460024d912b7,5029dbbd-7a9b-4ceb-9303-7d8f21b1dfbe
019c0cd2-374b-795a-a028-460024d912b7,e53efda0-9701-4890-97bf-f8e79a70bd0e
019c0cd2-374b-795a-a028-460024d912b7,eaee6b07-68fe-4dd0-ab47-327986b115a8
019c0cd2-374b-795a-a028-460024d912b7,a25830ba-dc73-4e76-a9ba-9f030f5c61a8
019c0cd2-374b-795a-a028-460024d912b7,c60eae13-fe61-4475-b73f-899b6adb6088
019c0cd2-374b-795a-a028-460024d912b7,a9b39691-8e31-4394-9427-b5d02441cf9c
019c0cd2-374b-795a-a028-460024d912b7,471ad8bb-98ed-4b4e-952d-1d7f4288e93a
019c0cd2-374b-795a-a028-460024d912b7,476ca137-51f1-43ae-bd1f-75060addf1da
019c0cd2-374b-795a-a028-460024d912b7,a42e34b6-540c-4962-8a4f-466a71453002
019c0cd2-374b-795a-a028-460024d912b7,756a9444-cdb6-4245-bb7f-0d388ce8d8bf
019c0cd2-374b-795a-a028-460024d912b7,b5e45462-5161-4bac-a9b4-540f71a15892
019c0cd2-374b-795a-a028-460024d912b7,08896442-dfec-40f9-a6e9-4dd97e240fe6
019c0cd2-374b-795a-a028-460024d912b7,781b8451-0d78-4771-ab30-ccb2056a5c4d
